Visible Actions,Stemmed Visible Actions
picked out this white shirt with this cute coral floral print,pick out this white shirt with this cute coral floral print
use soy products,use soy products
chopped up some lemon zest,chop up some lemon zest
take the edamame beans,take the edamame beans
put them in the food processor along with two tablespoons of tahini,put them in the food processor along with two tablespoons of tahini
added the cilantro,add the cilantro
added two tablespoons of olive oil the garlic,add two tablespoons of olive oil the garlic
scrape down the sides half way through,scrape down the sides half way through
use parsley or basil whatever herbs,use parsley or basil whatever herbs
eat dinner,eat dinner
go back upstairs,go back upstairs
take my dance bag,take my dance bag
take an pill,take an pill
rinse them really well underneath the kitchen sink,rinse them really well underneath the kitchen sink
put everything,put everything
show exactly everything,show exactly everything
making a healthy blueberry smoothie,make a healthy blueberry smoothie
adding one banana to my blender,add one banana to my blender
going down here brown rice spaghetti,go down here brown rice spaghetti
got some broccoli a big crown of broccoli with two russet potatoes,got some broccoli a big crown of broccoli with two russet potatoes
topping it with the other half of the banana,top it with the other half of the banana
used half a banana at breakfast,use half a banana at breakfast
use at breakfast,use at breakfast
using a few fresh raspberries,use a few fresh raspberries
cook skinless chicken breast pieces,cook skinless chicken breast pieces
served one gram chicken breast piece for myself,serve one gram chicken breast piece for myself
gone a little bit brown,gone a little bit brown
add some greens,add some greens
add the chicken to a baking tray,add the chicken to a bake tray
make chicken for dinner,make chicken for dinner
bake it for about to minutes,bake it for about to minutes
hit the thumbs up,hit the thumbs up
did a diy planner,do a diy planner
roll them up long ways,roll them up long ways
using a sharp knife,use a sharp knife
pull it down the stem,pull it down the stem
removes the leaf from the really fibrous stem,remove the leaf from the really fibrous stem
prep the greens,prep the greens
use this right in your shower,use this right in your shower
drips down,drip down
clean out a shower or tub,clean out a shower or tub
run this along all of the grout lines,run this along all of the grout lines
put some paper towel on top of it,put some paper towel on top of it
stay in the grout lines,stay in the grout lines
throw cushions back,throw cushions back
making my bed,make my bed
grabbing my bag this one,grab my bag this one
punch through,punch through
line up your holes,line up your holes
adjust this slightly for smaller or larger hands,adjust this slightly for smaller or larger hands
take my sheets off,take my sheets off
climbing into a freshly made bed,climb into a freshly make bed
changing out my sheets now,chang out my sheets now
filmed this,film this
using ezekiel bread,use ezekiel bread
using earth balance for my butter,use earth balance for my butter
using one avocado,use one avocado
poach two eggs,poach two eggs
boiling or simmering some hot water,boil or simmer some hot water
toasting your bread,toast your bread
start,start
wear safety goggles,wear safety goggles
make it through both pieces of wood,make it through both pieces of wood
saw here,see here
make it through to the other side,make it through to the other side
using a miter,use a miter
saw starting with the left side of the ladder,see start with the left side of the ladder
cut my pieces of wood accordingly,cut my pieces of wood accordingly
drill some holes with a drill,drill some holes with a drill
screw in the right side of the screws,screw in the right side of the screws
clean up the toy room,clean up the toy room
take all their toys upstairs,take all their toys upstairs
cleaned for them,clean for them
pop these in a degree preheated oven for to minutes,pop these in a degree preheated oven for to minutes
add your egg mixture on top finish,add your egg mixture on top finish
assembling your egg muffins,assemble your egg muffins
get your egg mixture together in a separate bowl,get your egg mixture together in a separate bowl
go in the oven,go in the oven
distributed throughout the muffin tins,distribut throughout the muffin tins
grab everything out,grab everything out
go straight into this little box bin thing near the front door,go straight into this little box bin thing near the front door
walk out,walk out
put everything like your handbag your books your diaries,put everything like your handbag your books your diaries
organize your morning routine,organize your morning routine
find a car keys or your house keys,find a car keys or your house keys
show,show
frizz up a little bit,frizz up a little bit
got some peach,got some peach
wipe it down,wipe it down
using them,use them
wipe down our bathroom,wipe down our bathroom
lay on the couch for a little bit,lay on the couch for a little bit
head downstairs,head downstairs
go out back into my bedroom,go out back into my bedroom
hydrate,hydrate
head into the kitchen,head into the kitchen
use a dry dryer sheet,use a dry dryer sheet
collects at the broom,collect at the broom
take up all of the dust,take up all of the dust
run it along your baseboards,run it along your baseboards
get right into the corners,get right into the corners
get those cobwebs,get those cobwebs
get on the walls,get on the walls
do silk plants,do silk plants
get my makeup,get my makeup
work on laundry,work on laundry
play with the boys,play with the boys
fill my water bottle with around of ice,fill my water bottle with around of ice
sprinkle them on,sprinkle them on
seen sometimes,see sometimes
give it up a lemon cashews brown rice fettuccine,give it up a lemon cashews brown rice fettuccine
adding to the pan,add to the pan
use brown rice pasta spaghetti always,use brown rice pasta spaghetti always
toss that up quickly with the sauce,toss that up quickly with the sauce
cook that over a medium heat on the stove for a few minutes,cook that over a medium heat on the stove for a few minutes
using pasta,use pasta
make some spaghetti,make some spaghetti
cook for about ten minutes,cook for about ten minutes
look clean,look clean
making my bed,make my bed
making my bed in the morning,make my bed in the morning
get the top all brown,get the top all brown
put it all through the food processor,put it all through the food processor
curl my hair with a curling iron,curl my hair with a curl iron
curl mostly the front pieces,curl mostly the front pieces
curl a couple pieces of my hair,curl a couple pieces of my hair
using this conair curling iron,use this conair curl iron
take my hair out of these braids,take my hair out of these braids
top it all off with a little bit of honey,top it all off with a little bit of honey
cover it for about to minutes,cover it for about to minutes
reduce it to a simmer,reduce it to a simmer
add my toppings,add my toppings
sprinkle it with some cinnamon,sprinkle it with some cinnamon
add tbsp of xylitol,add tbsp of xylitol
bring that all to a boil,bring that all to a boil
using almond milk,use almond milk
put in one part dish soap to one part of white vinegar mix it up,put in one part dish soap to one part of white vinegar mix it up
sprayed down very liberally,spray down very liberally
put the top on,put the top on
get some of your favorite bread some big lettuce like spinach or romaine,get some of your favorite bread some big lettuce like spinach or romaine
eating it on a sandwich,eat it on a sandwich
make a sandwich,make a sandwich
use glass,use glass
put a little bit of hydrogen peroxide into a container,put a little bit of hydrogen peroxide into a container
using essential oils,use essential oils
soak for about to minutes,soak for about to minutes
put our toothbrushes inside,put our toothbrushes inside
drink my tea,drink my tea
eating my snack,eat my snack
put my hair in a braid,put my hair in a braid
add to your home,add to your home
hanging succulents plants outside,hang succulents plants outside
add to my home,add to my home
add in your pureed pumpkin unsweetened vanilla almond milk,add in your pureed pumpkin unsweetened vanilla almond milk
add our pumpkin pie spice,add our pumpkin pie spice
give it a little bit of a whisk,give it a little bit of a whisk
incorporate all the ingredients,incorporate all the ingredients
stir once again,stir once again
incorporated together,incorporate together
give everything a nice,give everything a nice
stir,stir
got some of these seaweed snacks with sea salt,got some of these seaweed snacks with sea salt
got this little packet of almond butter,got this little packet of almond butter
got these roasted seaweed snacks,got these roasted seaweed snacks
find this at pacific time,find this at pacific time
completes this video,complete this video
carrying tons of different things,carry tons of different things
launching at the end of this month,launch at the end of this month
recommend that,recommend that
spelt like the herb,spelt like the herb
sign up for a newsletter,sign up for a newsletter
share my thoughts,share my thoughts
looking into cbd products cbd bath bombs,look into cbd products cbd bath bombs
launch new products,launch new products
makes it,make it
do it,do it
keep my probiotic in the fridge,keep my probiotic in the fridge
keep in the fridge vitamin b,keep in the fridge vitamin b
change into my outfit for that day,change into my outfit for that day
fix any kinks in my hair,fix any kinks in my hair
do my skincare routine,do my skincare routine
adding a little bit of essential oil onto them,add a little bit of essential oil onto them
dampen the clock a little bit,dampen the clock a little bit
do a quick,do a quick
warm up from a cedar,warm up from a cedar
mop your floors with it,mop your floors with it
make my bed,make my bed
go on the bed,go on the bed
throw cushions,throw cushions
head into the bathroom,head into the bathroom
using my bare minerals pure plush,use my bare minerals pure plush
wash my face,wash my face
finished my breakfast,finish my breakfast
grated gruyere cheese,grate gruyere cheese
add in my broccoli then my zucchini,add in my broccoli then my zucchini
use a pie,use a pie
add a mixture of five eggs,add a mixture of five eggs
starting off with some onions,start off with some onions
add egg whites,add egg whites
go over to my desk,go over to my desk
put on my spotify music,put on my spotify music
go into my system,go into my system
keep it clean constantly,keep it clean constantly
doing things like that,do things like that
making a bed in the morning,make a bed in the morning
put my dishes in the dishwasher,put my dishes in the dishwasher
cleaning,cleaning
use myself scott,use myself scott
work really really well,work really really well
makes it,make it
get that along with most of my other cleaning products from girlf collaborative,get that along with most of my other cleaning products from girlf collaborative
saves a lot of soap,save a lot of soap
get several free cleaning products with your first order,get several free cleaning products with your first order
wipe down everything from our counters,wipe down everything from our counters
cutting them in half,cut them in half
last a little bit longer,last a little bit longer
work for cleaning,work for cleaning
putting all of the dried dishes,put all of the dry dishes
add chicken on top for some additional protein,add chicken on top for some additional protein
go in with my brie cheese,go in with my brie cheese
do seasoned it up with a little bit of pepper,do seasoned it up with a little bit of pepper
give it a little bit of crispness,give it a little bit of crispness
add chicken,add chicken
work the apples,work the apples
push it into the ground,push it into the ground
drilling the posts into the new pieces of wood with our new measurements,drill the posts into the new pieces of wood with our new measurements
dig some holes,dig some holes
left on the stove,left on the stove
take along with me,take along with me
putting away all of our clean dishes,put away all of our clean dishes
put away the news,put away the news
getting all of those,get all of those
has lots of yellow in it,have lots of yellow in it
getting like cards from the dollar tree,get like cards from the dollar tree
found from the dollar tree,found from the dollar tree
get this at the dollar tree,get this at the dollar tree
put a card in there,put a card in there
lend it a little bit into your crease,lend it a little bit into your crease
blend in all like the edges,blend in all like the edges
blend in this dark color,blend in this dark color
use this,use this
come back,come back
blending brush,blend brush
start up here,start up here
do this,do this
go from the crease,go from the crease
take our lid off,take our lid off
stir it constantly,stir it constantly
added some more water,add some more water
sort out the rest of the toys from the toy bin,sort out the rest of the toys from the toy bin
cleaned up,clean up
clean up all of their legos,clean up all of their legos
use fresh or frozen,use fresh or frozen
adding some fresh cucumber,add some fresh cucumber
makes the smoothie really refreshing,make the smoothie really refresh
use other leafy greens like swiss chard or kale,use other leafy greens like swiss chard or kale
do on the eyes,do on the eyes
do on my other eye,do on my other eye
use this color bronzer,use this color bronzer
put it on,put it on
see recipes,see recipes
keep them clean,keep them clean
make again,make again
keep recipes in my binder,keep recipes in my binder
organize my recipe in two basic categories sheet protectors,organize my recipe in two basic categories sheet protectors
keeping a master list of all my recipes,keep a master list of all my recipes
print out every recipe,print out every recipe
keep my master list online,keep my master list online
add the descriptive columns,add the descriptive columns
store my online recipes on pinterest,store my online recipes on pinterest
make an entire video about it,make an entire video about it
involves two components electronic,involve two components electronic
wash your fruit,wash your fruit
finding all of the rollbacks,find all of the rollbacks
lay it out,lay it out
customize the selection,customize the selection
put everything away,put everything away
add some natural sweetener,add some natural sweetener
chopped up pink lady apples,chop up pink lady apples
add a little bit of cinnamon,add a little bit of cinnamon
put the mattress underneath noah bed his bed,put the mattress underneath noah bed his bed
taking off the bedding from our guest bed,take off the bedding from our guest bed
cleaning up our upstairs area,clean up our upstairs area
clean up our playroom,clean up our playroom
rolling it a bit,roll it a bit
put the chocolate near one of the corners,put the chocolate near one of the corners
using a knife,use a knife
cut into squares,cut into squares
making my smoothie recipes,make my smoothie recipes
contain lots of good nutrients,contain lots of good nutrients
use a needle,use a needle
turn off the ends of our toothpick,turn off the ends of our toothpick
finish it off with these holographic gemstones,finish it off with these holographic gemstones
add some puffy paint to the end of the toothpick for a pop of color,add some puffy paint to the end of the toothpick for a pop of color
gloss in the shade,gloss in the shade
chop up an apple,chop up an apple
make it even,make it even
take the edge off,take the edge off
dressing,dress
removing the core from them,remove the core from them
added some chia seeds,add some chia seeds
take barely any time to dry,take barely any time to dry
adding a little pinch of cinnamon,add a little pinch of cinnamon
show guys my recipe,show guys my recipe
adding of a cup of rolled oats medium banana,add of a cup of rolled oats medium banana
defrost a little then to a blender,defrost a little then to a blender
measured out half a cup of frozen blueberries,measure out half a cup of frozen blueberries
blend that up,blend that up
cooking up,cook up
stuff all of my tortilla shells,stuff all of my tortilla shells
makes it,make it
frying up these vegetables,fry up these vegetables
add the chicken,add the chicken
add your veggies a few canned ingredients your barley,add your veggies a few canned ingredients your barley
freezes so well,freeze so well
find it really helpful,find it really helpful
cover with aluminum foil,cover with aluminum foil
done,do
cool for a time,cool for a time
add my onions beans enchilada sauce,add my onions beans enchilada sauce
found on pinterest,found on pinterest
water my plants,water my plants
got some short grain brown rice in a pan with some vegetable stock,got some short grain brown rice in a pan with some vegetable stock
use kosher salt,use kosher salt
use my hands dirty spread,use my hands dirty spread
cook risotto,cook risotto
got my oven on convection,got my oven on convection
use a short grain rice when,use a short grain rice when
stick that in for about to minutes over here on my stove,stick that in for about to minutes over here on my stove
forms a creamy consistency,form a creamy consistency
start with rice cakes,start with rice cakes
plated it up like a crudite with some cucumber carrots,plate it up like a crudite with some cucumber carrots
blending,blend
using our dyson vacuums,use our dyson vacuums
cleaning the toilet,clean the toilet
vacuum our room,vacuum our room
put in your bathroom,put in your bathroom
purchased at home depot in the description below,purchase at home depot in the description below
put it in your living room,put it in your living room
add about a quarter teaspoon of cinnamon,add about a quarter teaspoon of cinnamon
adds healthy fats,add healthy fats
use two flat teaspoons of cacao powder,use two flat teaspoons of cacao powder
add one teaspoon of pure maple syrup,add one teaspoon of pure maple syrup
add flavor,add flavor
covered with a little bit of water,cover with a little bit of water
using water,use water
rinse that same rag out with water,rinse that same rag out with water
saw clean,see clean
polishes your stainless steel,polish your stainless steel
wipe down the stove,wipe down the stove
added some pizza ingredients,add some pizza ingredients
picked up a huge sweet potato from the store on my way home,pick up a huge sweet potato from the store on my way home
got some of this tomato basil kinda like a marinara sauce,got some of this tomato basil kinda like a marinara sauce
made in heaven then we everything for the salad,make in heaven then we everything for the salad
make sure,make sure
add some,add some
use all,use all
got our greens,got our greens
dressing always,dress always
dressed exactly,dress exactly
add more,add more
try it,try it
dressing,dress
put them,put them
lay there,lay there
go over to my window,go over to my window
pick out some sock,pick out some sock
head over to my bathroom,head over to my bathroom
look over to my sock drawer,look over to my sock drawer
open up my blinds,open up my blinds
go on my phone for a bit check instagram twitter snapchat youtube comments,go on my phone for a bit check instagram twitter snapchat youtube comments
put on a huge warm comfy sweater,put on a huge warm comfy sweater
adding powdered sugar,add powdered sugar
follow the instructions,follow the instructions
adding about a teaspoon,add about a teaspoon
sprinkled on some cinnamon then an extra little dash of almond milk,sprinkle on some cinnamon then an extra little dash of almond milk
adding some pomegranate,add some pomegranate
put it in your bowl,put it in your bowl
stir it up,stir it up
clean them,clean them
going to dust down my bookshelves,go to dust down my bookshelves
wiped down every single shelf,wipe down every single shelf
wiped down everything,wipe down everything
vacuuming it,vacuum it
vacuuming,vacuum
applied with my fingers,apply with my fingers
add a little bit more underneath my eyes,add a little bit more underneath my eyes
hang these up on his wall,hang these up on his wall
hangs to the wall,hang to the wall
hang it up,hang it up
remove the piece,remove the piece
hang in your kids rooms or in your room,hang in your kids rooms or in your room
pick out something,pick out something
go on netflix,go on netflix
take out my planner,take out my planner
pack up my stuff,pack up my stuff
go over to my desk,go over to my desk
make a list with everything,make a list with everything
topped with my super green avocado mixture,top with my super green avocado mixture
distributed on my pieces of rye toast,distribut on my pieces of rye toast
add to the top then my bread,add to the top then my bread
add a little,add a little
chopped up cilantro,chop up cilantro
sprinkle of kosher salt,sprinkle of kosher salt
taste like regular avocado toast,taste like regular avocado toast
spread it out,spread it out
do a quick over our floors,do a quick over our floors
adding a little bit of essential oil to the pad,add a little bit of essential oil to the pad
blush basin,blush basin
apply some of this bare minerals,apply some of this bare minerals
go for the apple of my cheek it my lip color,go for the apple of my cheek it my lip color
using some burt bees lip balm,use some burt bees lip balm
use some of this burt bees,use some of this burt bees
make this butternut squash kale salad with the maple tahini,make this butternut squash kale salad with the maple tahini
add a little bit of sweetener,add a little bit of sweetener
making chocolate chia pudding,make chocolate chia pudding
add some cinnamon,add some cinnamon
sweetened almond milk,sweetened almond milk
mix that together,mix that together
make my basic chia pudding recipe,make my basic chia pudding recipe
soak in the fridge overnight or for a few hours,soak in the fridge overnight or for a few hours
cleaned off,clean off
put things away,put things away
vacuum at least once a day usually twice a day one,vacuum at least once a day usually twice a day one
get it nice,get it nice
vacuuming,vacuum
tidy it up,tidy it up
vacuuming,vacuum
using the loreal volume,use the loreal volume
find a different eye line,find a different eye line
giving me a little highlight there on my nose,give me a little highlight there on my nose
see it in the camera,see it in the camera
makes perfect pumpkin pancakes,make perfect pumpkin pancakes
close it,close it
topping ready,top ready
cook a little bit longer,cook a little bit longer
got some pure maple syrup,got some pure maple syrup
make the waffles,make the waffles
got some blueberries,got some blueberries
open up the waffle maker,open up the waffle maker
leave it a little bit longer,leave it a little bit longer
make waffles,make waffles
exfoliated your skin,exfoliate your skin
mix it up,mix it up
clean your face,clean your face
rinse it off,rinse it off
apply to my skin,apply to my skin
get a little water on your skin,get a little water on your skin
help,help
giving guys all of the best tips,give guys all of the best tips
start a series on this channel of cleaning really dirty things,start a series on this channel of cleaning really dirty things
remove all of the product,remove all of the product
find inexpensive ways,find inexpensive ways
tackle those areas,tackle those areas
pour a bucket of warm water over all the walls of the shower,pour a bucket of warm water over all the walls of the shower
doing it on a tiny budget,do it on a tiny budget
hang it somewhere in your room shoes accessories,hang it somewhere in your room shoes accessories
take with me into a container,take with me into a container
set aside some into a container,set aside some into a container
make entirely new food,make entirely new food
wake up,wake up
wash off this face mask,wash off this face mask
mop it,mop it
clean with your steam,clean with your steam
make it smell,make it smell
scrolling through social media for ages,scroll through social media for ages
do a little bit of journaling,do a little bit of journal
eat or drink at this point,eat or drink at this point
show,show
see a little bit of my morning routine,see a little bit of my morning routine
wake up,wake up
involved in things around the house,involve in things around the house
find crafts,find crafts
add about an eighth of a cup of liquid detergent,add about an eighth of a cup of liquid detergent
pour cup of corn starch into our mixing bowl,pour cup of corn starch into our mix bowl
add the shaving cream,add the shave cream
shaving cream corn starch,shave cream corn starch
making beautiful things for my family on a budget,make beautiful things for my family on a budget
makes the dough a lot less sticky,make the dough a lot less sticky
check out the full recipe on my blog,check out the full recipe on my blog
washed my face in the shower,wash my face in the shower
picking out an outfit for the day,pick out an outfit for the day
get this full healthy chocolate blueberry pancake grace,get this full healthy chocolate blueberry pancake grace
head straight into the shower,head straight into the shower
apply some moisturizer,apply some moisturizer
relax after a busy week or something,relax after a busy week or something
mix it up,mix it up
take the saucepan over to the stove,take the saucepan over to the stove
adding that in there,add that in there
add about a teaspoon of pure vanilla extract,add about a teaspoon of pure vanilla extract
whisk it all together,whisk it all together
put it over a medium low heat until the peanut butter,put it over a medium low heat until the peanut butter
put on my makeup,put on my makeup
apply my cc cream from it cosmetics,apply my cc cream from it cosmetics
throw everything into a blender,throw everything into a blender
throw on that butternut squash roasted butternut squash,throw on that butternut squash roasted butternut squash
blend it all up,blend it all up
adding the cucumber celery cilantro green onion,add the cucumber celery cilantro green onion
adding all your veggies to a massage scale,add all your veggies to a massage scale
give it a mix,give it a mix
started some flour salt vegetable oil cream of tartar sand,start some flour salt vegetable oil cream of tartar sand
playing in the sand,play in the sand
combine our dry ingredients,combine our dry ingredients
mixing,mix
mix with the almond milk,mix with the almond milk
make it a little bit creamier,make it a little bit creamier
put that all into the mason jar,put that all into the mason jar
cool down a little bit,cool down a little bit
place it right into the mason jar,place it right into the mason jar
add a little bit of almond milk,add a little bit of almond milk
cool off a little bit,cool off a little bit
add half of the banana,add half of the banana
go back to the couch,go back to the couch
head to bed,head to bed
fall asleep,fall asleep
make yourself a cup of tea,make yourself a cup of tea
go to bed,go to bed
play on my phone,play on my phone
stack your two pieces,stack your two pieces
using some cardboard,use some cardboard
place it,place it
draw or trace a circle onto your cardboard mine about inches in diameter,draw or trace a circle onto your cardboard mine about inches in diameter
make a pretty large,make a pretty large
cut it out on top of your other piece of cardboard,cut it out on top of your other piece of cardboard
using some sharp scissors,use some sharp scissors
insert about three,insert about three
push the strip through the ball,push the strip through the ball
braiding those together,braid those together
added that teaspoon of spirulina powder a full tablespoon of nutritional yeast,add that teaspoon of spirulina powder a full tablespoon of nutritional yeast
mixed that all together,mix that all together
added a little bit of turmeric to my scramble,add a little bit of turmeric to my scramble
added my cumin,add my cumin
add about a third of that package of the silken tofu into a nonstick pan,add about a third of that package of the silken tofu into a nonstick pan
got spirulina powder some nutritional yeast some cumin some black pepper,got spirulina powder some nutritional yeast some cumin some black pepper
doing tips,do tips
make from a great herbal shop,make from a great herbal shop
do custom blends,do custom blends
visit in the san fernando valley,visit in the san fernando valley
blend that,blend that
topping it with one flat teaspoon of unsweetened almond butter,top it with one flat teaspoon of unsweetened almond butter
leave the oats,leave the oats
do this,do this
absorbed the water really nicely,absorb the water really nicely
make it a little sweeter,make it a little sweeter
see the oats,see the oats
making breakfast,make breakfast
add it,add it
show,show
control it,control it
put it on,put it on
put it all over my face,put it all over my face
use this tiny little brush,use this tiny little brush
move on to floors,move on to floors
dumping it on the walls,dump it on the walls
use a sprayer,use a sprayer
rewetting,rewet
rinse it off with water,rinse it off with water
watching the sun,watch the sun
coming through my windows,come through my windows
take that coffee,take that coffee
doing a few things each morning for last few months,do a few things each morning for last few months
allow yourself some decent time for your morning routine,allow yourself some decent time for your morning routine
soak up the sun,soak up the sun
sit in the middle part of my couch,sit in the middle part of my couch
head to the living room,head to the living room
do,do
see what this,see what this
looks like,looks like
drop this whole thing,drop this whole thing
end up,end up
do this,do this
looks like,looks like
put in a ziploc bags,put in a ziploc bags
eat this throughout the entire week,eat this throughout the entire week
chopped onion,chop onion
add a few pieces of raw shrimp,add a few pieces of raw shrimp
leave with the leftovers in the fridge,leave with the leftovers in the fridge
lining an oven pan with to foil pockets,line an oven pan with to foil pockets
add a couple pieces of fresh corn,add a couple pieces of fresh corn
add some spicy chicken sausage,add some spicy chicken sausage
go back with the p ranade eyeshadows,go back with the p ranade eyeshadows
use this like light brown,use this like light brown
put this on my brow bone,put this on my brow bone
making like a tiny little triangle on the outer third of my eye,make like a tiny little triangle on the outer third of my eye
use this champagne gold color,use this champagne gold color
use this color,use this color
throw a drink recipe in the mix,throw a drink recipe in the mix
assemble all of your veggies together,assemble all of your veggies together
add some olive oil a little bit of apple cider vinegar,add some olive oil a little bit of apple cider vinegar
do a little bit of our cream,do a little bit of our cream
straightening the ends,straighten the ends
fix my hair,fix my hair
using my honest beauty younger eye cream,use my honest beauty younger eye cream
using half a cup of coconut water,use half a cup of coconut water
use plain water too,use plain water too
add a half a teaspoon of spirulina powder,add a half a teaspoon of spirulina powder
score the flesh of the avocado,score the flesh of the avocado
mashing it up,mash it up
use this,use this
prep the other ingredients,prep the other ingredients
taking the seed out of the avocado,take the seed out of the avocado
take my knife,take my knife
use your favorite bread,use your favorite bread
using extra virgin olive oil a little bit,use extra virgin olive oil a little bit
mix it all up,mix it all up
drizzle with some olive oil,drizzle with some olive oil
take the shaker top hop,take the shaker top hop
use my palm,use my palm
hanging up my robe,hang up my robe
use almond butter or cashew nut butter,use almond butter or cashew nut butter
add a pinch of cinnamon,add a pinch of cinnamon
add one tablespoon of natural unsweetened peanut butter,add one tablespoon of natural unsweetened peanut butter
use peanut butter with the smoothie,use peanut butter with the smoothie
getting milk storage bags,get milk storage bags
plug it in,plug it in
store it by freezing it,store it by freezing it
find these,find these
screw the galvanized piping into those flanges,screw the galvanized piping into those flanges
whip it with a kitchenaid,whip it with a kitchenaid
got this,got this
get back into bed,get back into bed
made my bed,make my bed
using the method glass,use the method glass
move back into the shower,move back into the shower
cleaned up,clean up
mirrors clean,mirror clean
take off the cushions,take off the cushions
cleanse the microfiber,cleanse the microfiber
use my hose extension to clean inside of them,use my hose extension to clean inside of them
getting packaging,get packaging
got really bored one day,got really bore one day
changed around,chang around
looking at right now,look at right now
faces the window,face the window
pop on the lid,pop on the lid
sprinkle a little bit of my pink himalayan sea salt,sprinkle a little bit of my pink himalayan sea salt
shake it to kind of emulsify all the ingredients the oil,shake it to kind of emulsify all the ingredients the oil
cook that before,cook that before
go ahead,go ahead
go through our ingredients,go through our ingredients
share the recipe,share the recipe
add my sage,add my sage
get a nice sizzle,get a nice sizzle
melt my butter,melt my butter
using my vitamix,use my vitamix
blend until smooth,blend until smooth
add in a little bit of lemon zest,add in a little bit of lemon zest
blend up,blend up
add it into a mason jar,add it into a mason jar
go to bed,go to bed
plug in my phone,plug in my phone
using oats,use oats
make life with kids easier in the kitchen,make life with kids easier in the kitchen
work for this recipe,work for this recipe
finding ways,find ways
take your oats,take your oats
start by,start by
use any kind of milk,use any kind of milk
showing the basic recipe,show the basic recipe
make them three different ways,make them three different ways
put my greek yogurt in here,put my greek yogurt in here
wiping down my countertops,wipe down my countertops
rinsing out with water,rinse out with water
using my dollar tree cloth,use my dollar tree cloth
wipe down the mirror,wipe down the mirror
clean it perfectly with water,clean it perfectly with water
wipe the entire mirror down with the water,wipe the entire mirror down with the water
play all different types of games,play all different types of games
found this game,found this game
talk about this game at this point,talk about this game at this point
sit down,sit down
convince him,convince him
play a board game with me,play a board game with me
match same colored objects,match same colored objects
eat on the couch,eat on the couch
start with my ecco bella day cream,start with my ecco bella day cream
use concealer,use concealer
using this one,use this one
sharing with my current makeup routine the products,share with my current makeup routine the products
found what works for me,found what work for me
works really beautifully under makeup some moisturizers,works really beautifully under makeup some moisturizers
applying that first,apply that first
doing some body brushing,do some body brushing
sitting there,sit there
try them out,try them out
thank,thank
make these pumpkin protein,make these pumpkin protein
make them,make them
making her massage kale caesar salad,make her massage kale caesar salad
give your skin that healthy glowy look,give your skin that healthy glowy look
getting ready in the morning,get ready in the morning
improve the condition of your skin,improve the condition of your skin
looks different,look different
getting ready in the morning,get ready in the morning
write lists,write lists
head back downstairs,head back downstair
plan out my day,plan out my day
use all of my fresh produce,use all of my fresh produce
making a veggie sandwich,make a veggie sandwich
put whatever veggies,put whatever veggies
lined with the produce bag as a mini trashcan,line with the produce bag as a mini trashcan
eat my dinner,eat my dinner
use a little bucket,use a little bucket
created,create
see guys in our next videos,see guys in our next videos
find out,find out
filming with,film with
thank so much,thank so much
receive off,receive off
check out her channel,check out her channel
bring to lunch,bring to lunch
use the coupon code health,use the coupon code health
cleans the floor it,clean the floor it
mop this thing,mop this thing
use it everywhere in my house,use it everywhere in my house
add a little bit of cracked pepper,add a little bit of crack pepper
cooked up,cook up
add in your veggies,add in your veggies
take two pieces,take two pieces
sprinkle it right over top,sprinkle it right over top
pop them right into the toaster,pop them right into the toaster
take a tablespoon of this,take a tablespoon of this
use a wooden spoon or a whisk,use a wooden spoon or a whisk
dressing it,dress it
show how,show how
drizzle all over,drizzle all over
add in the rest of the ingredients,add in the rest of the ingredients
pour,pour
give it a good whisk,give it a good whisk
adding your blackberries into a bowl,add your blackberries into a bowl
crush up the blackberries,crush up the blackberries
add one more tablespoon of tahini,add one more tablespoon of tahini
add them to a ziploc bag with a paper towel at the bottom,add them to a ziploc bag with a paper towel at the bottom
added a little bit of salt,add a little bit of salt
keep a lot longer in the fridge,keep a lot longer in the fridge
mixing that up,mix that up
add a third of a cup of apple cider vinegar,add a third of a cup of apple cider vinegar
looking,look
tried several,try several
got some from drybar,got some from drybar
smells really good,smell really good
makes my hair a lot smoother,make my hair a lot smoother
put the dry shampoo,put the dry shampoo
scrolling through the many social media platforms,scroll through the many social media platforms
scrolling through social media first thing in the morning,scroll through social media first thing in the morning
stay warm for a very long time,stay warm for a very long time
comes with four slots,come with four slots
warm them up,warm them up
making sandwiches,make sandwiches
giving specific compartments,give specific compartments
pour a little bit of hot water in them,pour a little bit of hot water in them
organize your supplies,organize your supplies
pack your kids lunches,pack your kids lunches
set aside a drawer in your kitchen,set aside a drawer in your kitchen
organize more,organize more
see some garage,see some garage
organizing tips,organize tips
wearing this like strapping tank top from urban planning,wear this like strap tank top from urban planning
using those roll ons,use those roll ons
use some window cleaner,use some window cleaner
put a few things away,put a few things away
put this stuff away,put this stuff away
wiping all of the surfaces down,wipe all of the surfaces down
cleans up a space,clean up a space
make breakfast my favorite breakfast,make breakfast my favorite breakfast
get my house back under control,get my house back under control
renovated my dining room,renov my dining room
cooking our quinoa,cook our quinoa
take the quinoa over to the stove,take the quinoa over to the stove
adding this better than bullion vegetable broth base,add this better than bullion vegetable broth base
boil it,boil it
adding under cups of water,add under cups of water
link all the ingredients with correct measurements down,link all the ingredients with correct measurements down
make this vegan lunch meal prep,make this vegan lunch meal prep
whisk everything together,whisk everything together
crack them right into the bowl,crack them right into the bowl
stir everything all up again,stir everything all up again
incorporating the eggs,incorporate the eggs
